年度,区分,区分2,基金名,区分3,金額（億円）
2020,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2020年度末残高（当初）,0
2020,国の交付金等により積み立てた基金,その他基金,その他基金,2019年度最終補正後残高,"1,333"
2020,国の交付金等により積み立てた基金,その他基金,その他基金,2020年度取崩額（当初）,-269
2020,国の交付金等により積み立てた基金,その他基金,その他基金,2020年度末残高（当初）,"1,252"
2020,財源として活用可能な基金,財政調整基金,財政調整基金,2019年度最終補正後残高,"9,345"
2020,財源として活用可能な基金,財政調整基金,財政調整基金,2020年度取崩額（当初）,0
2020,財源として活用可能な基金,財政調整基金,財政調整基金,2020年度末残高（当初）,"9,348"
2020,合計,合計,合計,2019年度最終補正後残高,"25,047"
2020,合計,合計,合計,2020年度取崩額（当初）,"-7,601"
2020,合計,合計,合計,2020年度末残高（当初）,"17,744"
2019,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2018年度最終補正後残高,"2,095"
2019,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2019年度取崩額（当初）,"-1,076"
2019,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2019年度末残高（当初）,"1,019"
2019,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2018年度最終補正後残高,498
2019,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2019年度取崩額（当初）,-144
2019,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2019年度末残高（当初）,354
2019,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2018年度最終補正後残高,-1
2019,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2019年度取崩額（当初）,0
2019,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2019年度末残高（当初）,0
2019,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2018年度最終補正後残高,"3,875"
2019,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2019年度取崩額（当初）,-680
2019,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2019年度末残高（当初）,"3,243"
2019,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2018年度最終補正後残高,53
2019,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2019年度取崩額（当初）,-30
2019,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2019年度末残高（当初）,23
2019,３つのシティ実現に向けた基金,スマート シティ,水素社会・スマートエネルギー都市づくり推進基金,2018年度最終補正後残高,300
2019,３つのシティ実現に向けた基金,スマート シティ,水素社会・スマートエネルギー都市づくり推進基金,2019年度取崩額（当初）,-48
2019,３つのシティ実現に向けた基金,スマート シティ,水素社会・スマートエネルギー都市づくり推進基金,2019年度末残高（当初）,252
2019,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2018年度最終補正後残高,79
2019,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2019年度取崩額（当初）,-41
2019,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2019年度末残高（当初）,39
2019,３つのシティ実現に向けた基金,スマート シティ,イノベーション創出基金,2018年度最終補正後残高,254
2019,３つのシティ実現に向けた基金,スマート シティ,イノベーション創出基金,2019年度取崩額（当初）,-64
2019,３つのシティ実現に向けた基金,スマート シティ,イノベーション創出基金,2019年度末残高（当初）,190
2019,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2018年度最終補正後残高,620
2019,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2019年度取崩額（当初）,0
2019,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2019年度末残高（当初）,691
2019,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2018年度最終補正後残高,0
2019,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2019年度取崩額（当初）,1
2019,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2019年度末残高（当初）,-1
2019,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2018年度最終補正後残高,44
2019,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2019年度取崩額（当初）,-11
2019,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2019年度末残高（当初）,33
2019,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2018年度最終補正後残高,265
2019,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2019年度取崩額（当初）,-106
2019,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2019年度末残高（当初）,160
2019,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2018年度最終補正後残高,"1,674"
2019,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2019年度取崩額（当初）,-577
2019,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2019年度末残高（当初）,"1,098"
2019,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2018年度最終補正後残高,86
2019,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2019年度取崩額（当初）,-57
2019,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2019年度末残高（当初）,28
2019,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2018年度最終補正後残高,0
2019,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2019年度取崩額（当初）,0
2019,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2019年度末残高（当初）,-1
2019,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2018年度最終補正後残高,"4,935"
2019,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2019年度取崩額（当初）,"-2,744"
