年度,区分,区分2,基金名,区分3,金額（億円）
2026,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2026年度取崩額,-151
2026,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2026年度末残高,260
2026,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2025年度末残高（最終補正後）,1
2026,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2026年度積立額,0
2026,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2026年度取崩額,-1
2026,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2026年度末残高,0
2026,国の交付金等により積み立てた基金,その他基金,その他基金,2025年度末残高（最終補正後）,"1,118"
2026,国の交付金等により積み立てた基金,その他基金,その他基金,2026年度積立額,267
2026,国の交付金等により積み立てた基金,その他基金,その他基金,2026年度取崩額,-392
2026,国の交付金等により積み立てた基金,その他基金,その他基金,2026年度末残高,"1,003"
2026,財政調整基金,財政調整基金,財政調整基金,2025年度末残高（最終補正後）,"7,879"
2026,財政調整基金,財政調整基金,財政調整基金,2026年度積立額,151
2026,財政調整基金,財政調整基金,財政調整基金,2026年度取崩額,0
2026,財政調整基金,財政調整基金,財政調整基金,2026年度末残高,"8,085"
2026,合計,合計,合計,2025年度末残高（最終補正後）,"22,170"
2026,合計,合計,合計,2026年度積立額,543
2026,合計,合計,合計,2026年度取崩額,"-8,381"
2026,合計,合計,合計,2026年度末残高,"14,505"
2025,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2024年度末残高（決算）,"5,312"
2025,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2025年度積立額,0
2025,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2025年度取崩額,"-2,078"
2025,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2025年度末残高,"3,257"
2025,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2024年度末残高（決算）,0
2025,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2025年度積立額,0
2025,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2025年度取崩額,0
2025,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2025年度末残高,0
2025,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2024年度末残高（決算）,"3,972"
2025,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2025年度積立額,65
2025,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2025年度取崩額,"-1,010"
2025,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2025年度末残高,"3,049"
2025,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2024年度末残高（決算）,"1,770"
2025,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2025年度積立額,83
2025,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2025年度取崩額,-56
2025,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2025年度末残高,"1,811"
2025,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2024年度末残高（決算）,720
2025,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2025年度積立額,0
2025,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2025年度取崩額,0
2025,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2025年度末残高,724
2025,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2024年度末残高（決算）,184
2025,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2025年度積立額,0
2025,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2025年度取崩額,-40
2025,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2025年度末残高,145
2025,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2024年度末残高（決算）,"1,029"
2025,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2025年度積立額,500
2025,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2025年度取崩額,-739
2025,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2025年度末残高,795
2025,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2024年度末残高（決算）,"1,057"
2025,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2025年度積立額,500
2025,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2025年度取崩額,-502
2025,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2025年度末残高,1061
2025,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2024年度末残高（決算）,-1
2025,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2025年度積立額,0
2025,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2025年度取崩額,0
2025,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2025年度末残高,-1
2025,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2024年度末残高（決算）,"1,928"
2025,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2025年度積立額,0
2025,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2025年度取崩額,-14
2025,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2025年度末残高,1925
2025,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2024年度末残高（決算）,0
2025,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2025年度積立額,0
2025,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2025年度取崩額,0
2025,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2025年度末残高,0
2025,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2024年度末残高（決算）,702
2025,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2025年度積立額,0
2025,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2025年度取崩額,-299
2025,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2025年度末残高,406
2025,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2024年度末残高（決算）,0
2025,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2025年度積立額,0
2025,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2025年度取崩額,-1
2025,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2025年度末残高,1
2025,国の交付金等により積み立てた基金,その他基金,その他基金,2024年度末残高（決算）,"1,450"
2025,国の交付金等により積み立てた基金,その他基金,その他基金,2025年度積立額,199
2025,国の交付金等により積み立てた基金,その他基金,その他基金,2025年度取崩額,-540
2025,国の交付金等により積み立てた基金,その他基金,その他基金,2025年度末残高,"1,118"
2025,財政調整基金,財政調整基金,財政調整基金,2024年度末残高（決算）,"7,158"
2025,財政調整基金,財政調整基金,財政調整基金,2025年度積立額,941
2025,財政調整基金,財政調整基金,財政調整基金,2025年度取崩額,-240
2025,財政調整基金,財政調整基金,財政調整基金,2025年度末残高,"7,879"
2025,合計,合計,合計,2024年度末残高（決算）,"25,281"
2025,合計,合計,合計,2025年度積立額,2288
2025,合計,合計,合計,2025年度取崩額,"-5,518"
2025,合計,合計,合計,2025年度末残高,"22,170"
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度末残高（決算）,"4,500"
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2024年度積立額,812
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2024年度取崩額,0
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2024年度末残高,"5,312"
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度末残高（決算）,0
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2024年度積立額,0
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2024年度取崩額,0
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2024年度末残高,0
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度末残高（決算）,"5,017"
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2024年度積立額,74
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2024年度取崩額,"-1,120"
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2024年度末残高,"3,972"
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度末残高（決算）,886
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2024年度積立額,899
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2024年度取崩額,-15
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2024年度末残高,"1,770"
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度末残高（決算）,"1,231"
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2024年度積立額,0
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2024年度取崩額,-511
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2024年度末残高,720
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度末残高（決算）,248
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2024年度積立額,0
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2024年度取崩額,-65
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2024年度末残高,184
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度末残高（決算）,"1,029"
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2024年度積立額,0
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2024年度取崩額,0
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2024年度末残高,"1,029"
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度末残高（決算）,"1,298"
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2024年度積立額,0
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2024年度取崩額,-241
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2024年度末残高,"1,057"
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度末残高（決算）,0
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2024年度積立額,0
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2024年度取崩額,0
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2024年度末残高,0
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度末残高（決算）,"2,950"
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2024年度積立額,1
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2024年度取崩額,"-1,022"
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2024年度末残高,"1,928"
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度末残高（決算）,0
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2024年度積立額,0
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2024年度取崩額,0
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2024年度末残高,0
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2023年度末残高（決算）,"1,076"
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2024年度積立額,0
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2024年度取崩額,-375
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2024年度末残高,702
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度末残高（決算）,0
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2024年度積立額,-1
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2024年度取崩額,-1
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2024年度末残高,-1
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度末残高（決算）,"1,380"
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2024年度積立額,373
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2024年度取崩額,-303
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2024年度末残高,"1,450"
2024,財政調整基金,財政調整基金,財政調整基金,2023年度末残高（決算）,"6,322"
2024,財政調整基金,財政調整基金,財政調整基金,2024年度積立額,833
2024,財政調整基金,財政調整基金,財政調整基金,2024年度取崩額,0
2024,財政調整基金,財政調整基金,財政調整基金,2024年度末残高,"7,158"
2024,合計,合計,合計,2023年度末残高（決算）,"25,938"
2024,合計,合計,合計,2024年度積立額,"2,991"
2024,合計,合計,合計,2024年度取崩額,"-3,653"
2024,合計,合計,合計,2024年度末残高,"25,281"
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2022年度末残高（決算）,"3,000"
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度積立額,"1,500"
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度取崩額,"-1,200"
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度末残高,"3,300"
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度末残高（決算）,0
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度積立額,0
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度取崩額,0
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度末残高,0
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度末残高（決算）,"4,978"
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度積立額,75
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度取崩額,"-1,159"
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度末残高,"3,895"
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度末残高（決算）,840
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度積立額,54
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度取崩額,-10
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度末残高,885
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度末残高（決算）,448
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度積立額,"1,000"
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度取崩額,-233
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度末残高,"1,215"
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度末残高（決算）,278
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度積立額,0
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度取崩額,-44
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度末残高,234
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度末残高（決算）,296
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度積立額,"1,000"
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度取崩額,-272
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度末残高,"1,024"
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2022年度末残高（決算）,"1,500"
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度積立額,0
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度取崩額,-202
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度末残高,"1,298"
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度末残高（決算）,0
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度積立額,0
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度取崩額,1
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度末残高,0
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度末残高（決算）,"2,949"
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度積立額,0
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度取崩額,-652
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度末残高,"2,297"
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度末残高（決算）,0
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度積立額,0
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度取崩額,0
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度末残高,0
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2022年度末残高（決算）,"1,489"
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2023年度積立額,0
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2023年度取崩額,-498
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2023年度末残高,991
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度末残高（決算）,-1
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度積立額,0
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度取崩額,0
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度末残高,0
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度末残高（決算）,"1,340"
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度積立額,283
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度取崩額,-259
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度末残高,"1,364"
2023,財政調整基金,財政調整基金,財政調整基金,2022年度末残高（決算）,"6,498"
2023,財政調整基金,財政調整基金,財政調整基金,2023年度積立額,486
2023,財政調整基金,財政調整基金,財政調整基金,2023年度取崩額,-984
2023,財政調整基金,財政調整基金,財政調整基金,2023年度末残高,"6,001"
2023,合計,合計,合計,2022年度末残高（決算）,"23,615"
2023,合計,合計,合計,2023年度積立額,"4,398"
2023,合計,合計,合計,2023年度取崩額,"-5,512"
2023,合計,合計,合計,2023年度末残高,"22,505"
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2020年度末残高（決算）,"2,304"
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2021年度末残高（決算）,"2,304"
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2022年度取崩額,"-2,305"
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2022年度末残高,0
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2020年度末残高（決算）,297
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2021年度末残高（決算）,298
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2022年度取崩額,-298
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2022年度末残高,0
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2020年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2021年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2022年度積立額,"3,000"
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2022年度取崩額,0
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2022年度末残高,"3,000"
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2020年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2021年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度積立額,0
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度取崩額,1
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度末残高,0
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2020年度末残高（決算）,"4,865"
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2021年度末残高（決算）,"4,885"
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度積立額,118
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度取崩額,-603
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度末残高,"4,401"
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2020年度末残高（決算）,21
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2021年度末残高（決算）,21
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2022年度取崩額,-21
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2022年度末残高,0
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2020年度末残高（決算）,29
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2021年度末残高（決算）,29
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2022年度取崩額,-29
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2022年度末残高,0
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2020年度末残高（決算）,760
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2021年度末残高（決算）,802
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度積立額,43
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度取崩額,-8
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度末残高,838
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2020年度末残高（決算）,448
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2021年度末残高（決算）,448
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度取崩額,0
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度末残高,448
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2020年度末残高（決算）,300
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2021年度末残高（決算）,278
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度取崩額,-34
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度末残高,244
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2020年度末残高（決算）,295
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2021年度末残高（決算）,295
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度取崩額,0
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度末残高,296
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2020年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2021年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2022年度積立額,"1,500"
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2022年度取崩額,0
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2022年度末残高,"1,500"
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2020年度末残高（決算）,1
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2021年度末残高（決算）,0
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度積立額,1
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度取崩額,1
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度末残高,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2020年度末残高（決算）,143
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2021年度末残高（決算）,143
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2022年度取崩額,-143
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2022年度末残高,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2020年度末残高（決算）,"1,947"
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2021年度末残高（決算）,"1,948"
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度積立額,"1,000"
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度取崩額,-660
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度末残高,"2,288"
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2020年度末残高（決算）,42
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2021年度末残高（決算）,42
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2022年度積立額,0
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2022年度取崩額,-42
